hour_band,departure_hour,annual_departures,pct_of_network_day,timetabled_calls,stations_active,routes_active,rank_by_volume
17:00-17:59,17,950651,6.51,76736,605,937,1
07:00-07:59,7,938525,6.43,76473,609,988,2
16:00-16:59,16,919919,6.3,77203,603,892,3
18:00-18:59,18,892678,6.11,76475,605,940,4
08:00-08:59,8,875355,5.99,85053,603,959,5
15:00-15:59,15,833115,5.71,79377,590,807,6
09:00-09:59,9,832608,5.7,91764,590,903,7
10:00-10:59,10,830433,5.69,94323,588,871,8
12:00-12:59,12,830313,5.69,89817,599,834,9
13:00-13:59,13,827169,5.66,87613,604,817,10
19:00-19:59,19,824018,5.64,74135,603,896,11
11:00-11:59,11,821634,5.63,91782,588,866,12
14:00-14:59,14,820513,5.62,85017,589,786,13
06:00-06:59,6,775531,5.31,57345,604,952,14
20:00-20:59,20,756486,5.18,73521,592,872,15
21:00-21:59,21,658742,4.51,71889,586,867,16
22:00-22:59,22,497908,3.41,67688,561,868,17
05:00-05:59,5,336730,2.31,23084,539,625,18
23:00-23:59,23,251537,1.72,46109,452,747,19
00:00-00:59,0,65700,0.45,17903,288,387,20
04:00-04:59,4,52829,0.36,4330,226,190,21
01:00-01:59,1,9933,0.07,5055,97,90,22
02:00-02:59,2,783,0.01,493,36,27,23
03:00-03:59,3,108,0.0,36,23,16,24
