hour_band,rank_annualised,rank_naive,rank_improvement,annual_departures,timetabled_calls,avg_days_per_call
17:00,1,10,9,950651,76736,12.4
07:00,2,12,10,938525,76473,12.3
16:00,3,9,6,919919,77203,11.9
18:00,4,11,7,892678,76475,11.7
08:00,5,6,1,875355,85053,10.3
15:00,6,8,2,833115,79377,10.5
09:00,7,3,-4,832608,91764,9.1
10:00,8,1,-7,830433,94323,8.8
12:00,9,4,-5,830313,89817,9.2
13:00,10,5,-5,827169,87613,9.4
19:00,11,13,2,824018,74135,11.1
11:00,12,2,-10,821634,91782,9.0
14:00,13,7,-6,820513,85017,9.7
06:00,14,17,3,775531,57345,13.5
20:00,15,14,-1,756486,73521,10.3
21:00,16,15,-1,658742,71889,9.2
22:00,17,16,-1,497908,67688,7.4
05:00,18,19,1,336730,23084,14.6
23:00,19,18,-1,251537,46109,5.5
00:00,20,20,0,65700,17903,3.7
04:00,21,22,1,52829,4330,12.2
01:00,22,21,-1,9933,5055,2.0
02:00,23,23,0,783,493,1.6
03:00,24,24,0,108,36,3.0
