platform,hour_band,calls,pct_of_platform_day,busiest_hour_rank
Platform 1,00:00,139,2.0,19
Platform 1,01:00,4,0.1,22
Platform 1,04:00,23,0.3,21
Platform 1,05:00,110,1.6,20
Platform 1,06:00,256,3.8,18
Platform 1,07:00,356,5.2,11
Platform 1,08:00,307,4.5,16
Platform 1,09:00,392,5.8,8
Platform 1,10:00,402,5.9,4
Platform 1,11:00,398,5.9,5
Platform 1,12:00,403,5.9,3
Platform 1,13:00,348,5.1,12
Platform 1,14:00,409,6.0,1
Platform 1,15:00,360,5.3,10
Platform 1,16:00,397,5.9,6
Platform 1,17:00,363,5.4,9
Platform 1,18:00,345,5.1,13
Platform 1,19:00,329,4.9,15
Platform 1,20:00,303,4.5,17
Platform 1,21:00,407,6.0,2
Platform 1,22:00,397,5.9,6
Platform 1,23:00,333,4.9,14
Platform 2,00:00,170,2.3,20
Platform 2,01:00,7,0.1,21
Platform 2,02:00,2,0.0,22
Platform 2,05:00,197,2.6,19
Platform 2,06:00,283,3.8,17
Platform 2,07:00,399,5.3,10
Platform 2,08:00,407,5.4,8
Platform 2,09:00,428,5.7,4
Platform 2,10:00,476,6.4,2
Platform 2,11:00,421,5.6,5
Platform 2,12:00,443,5.9,3
Platform 2,13:00,410,5.5,6
Platform 2,14:00,410,5.5,6
Platform 2,15:00,389,5.2,12
Platform 2,16:00,390,5.2,11
Platform 2,17:00,379,5.1,14
Platform 2,18:00,367,4.9,15
Platform 2,19:00,347,4.6,16
Platform 2,20:00,382,5.1,13
Platform 2,21:00,406,5.4,9
Platform 2,22:00,487,6.5,1
Platform 2,23:00,271,3.6,18
Platform 3,00:00,17,0.1,22
Platform 3,01:00,29,0.2,21
Platform 3,04:00,30,0.3,20
Platform 3,05:00,184,1.5,19
Platform 3,06:00,539,4.5,17
Platform 3,07:00,697,5.8,5
Platform 3,08:00,719,6.0,3
Platform 3,09:00,791,6.6,1
Platform 3,10:00,735,6.1,2
Platform 3,11:00,679,5.7,7
Platform 3,12:00,684,5.7,6
Platform 3,13:00,706,5.9,4
Platform 3,14:00,655,5.5,12
Platform 3,15:00,643,5.4,14
Platform 3,16:00,643,5.4,14
Platform 3,17:00,603,5.0,16
Platform 3,18:00,676,5.6,8
Platform 3,19:00,665,5.5,11
Platform 3,20:00,646,5.4,13
Platform 3,21:00,674,5.6,9
Platform 3,22:00,670,5.6,10
Platform 3,23:00,297,2.5,18
Platform 4,00:00,154,1.5,19
Platform 4,01:00,1,0.0,21
Platform 4,05:00,137,1.3,20
Platform 4,06:00,420,4.0,18
Platform 4,07:00,480,4.6,16
Platform 4,08:00,616,5.9,5
Platform 4,09:00,670,6.4,2
Platform 4,10:00,722,6.9,1
Platform 4,11:00,642,6.1,3
Platform 4,12:00,621,5.9,4
Platform 4,13:00,606,5.8,6
Platform 4,14:00,564,5.4,10
Platform 4,15:00,566,5.4,8
Platform 4,16:00,565,5.4,9
Platform 4,17:00,554,5.3,12
Platform 4,18:00,583,5.5,7
Platform 4,19:00,546,5.2,13
Platform 4,20:00,560,5.3,11
Platform 4,21:00,531,5.0,14
Platform 4,22:00,531,5.0,14
Platform 4,23:00,446,4.2,17
Platform 5,00:00,125,2.0,20
Platform 5,01:00,11,0.2,21
Platform 5,04:00,9,0.1,22
Platform 5,05:00,134,2.2,19
Platform 5,06:00,299,4.8,16
Platform 5,07:00,338,5.5,10
Platform 5,08:00,346,5.6,7
Platform 5,09:00,347,5.6,6
Platform 5,10:00,351,5.7,4
Platform 5,11:00,364,5.9,1
Platform 5,12:00,339,5.5,9
Platform 5,13:00,341,5.5,8
Platform 5,14:00,330,5.3,11
Platform 5,15:00,349,5.6,5
Platform 5,16:00,278,4.5,17
Platform 5,17:00,316,5.1,14
Platform 5,18:00,323,5.2,12
Platform 5,19:00,318,5.1,13
Platform 5,20:00,300,4.8,15
Platform 5,21:00,256,4.1,18
Platform 5,22:00,363,5.9,2
Platform 5,23:00,354,5.7,3
Platform 6,00:00,139,2.4,19
Platform 6,01:00,85,1.5,20
Platform 6,02:00,45,0.8,22
Platform 6,05:00,75,1.3,21
Platform 6,06:00,206,3.6,18
Platform 6,07:00,278,4.8,14
Platform 6,08:00,317,5.5,8
Platform 6,09:00,323,5.6,5
Platform 6,10:00,359,6.3,1
Platform 6,11:00,318,5.5,7
Platform 6,12:00,324,5.6,4
Platform 6,13:00,321,5.6,6
Platform 6,14:00,314,5.5,9
Platform 6,15:00,293,5.1,11
Platform 6,16:00,339,5.9,2
Platform 6,17:00,332,5.8,3
Platform 6,18:00,285,5.0,13
Platform 6,19:00,289,5.0,12
Platform 6,20:00,260,4.5,17
Platform 6,21:00,277,4.8,15
Platform 6,22:00,296,5.2,10
Platform 6,23:00,265,4.6,16
