destination_fr,destination_nl,destination_de,destination_en,annual_morning_trips
Anvers-Central,Antwerpen-Centraal,Antwerpen-Centraal / Anvers-Central,Anvers-Central / Antwerpen-Centraal,41972
Louvain,Leuven,Leuven / Louvain,Louvain / Leuven,27516
Charleroi-Central,Charleroi-Centraal,Charleroi-Central,Charleroi-Central,21328
Bruxelles-Midi,Brussel-Zuid,Brus.-Zuid / Brux.-Midi,Brux.-Midi/Brus.-Zuid,16806
Brussels Airport-Zaventem,Brussels Airport-Zaventem,Brussels Airport-Zaventem,Brussels Airport-Zaventem,16320
Luxembourg (LU),Luxemburg (LU),Luxemburg (LU),Luxembourg (LU),14540
Gand-Saint-Pierre,Gent-Sint-Pieters,Gent-Sint-Pieters / Gand-Saint-Pierre,Gand-Saint-Pierre / Gent-Sint-Pieters,13550
Liège-Guillemins,Luik-Guillemins,Luik-Guillemins / Liège-Guillemins,Liège-Guillemins / Luik-Guillemins,13036
Hasselt,Hasselt,Hasselt,Hasselt,12850
Termonde,Dendermonde,Dendermonde / Termonde,Termonde / Dendermonde,12726
